id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
296821,2013,8,18,1826.0,1830,-4.0,2053.0,2105,-12.0,WN,200,N949WN,EWR,MSY,175.0,1167,18,30,2013-08-18 18:00:00,Southwest Airlines Co.
40682,2013,10,15,1651.0,1700,-9.0,2003.0,2000,3.0,AA,1171,N3JNAA,LGA,DFW,207.0,1389,17,0,2013-10-15 17:00:00,American Airlines Inc.
331240,2013,9,25,558.0,600,-2.0,658.0,659,-1.0,US,2167,N712US,LGA,DCA,38.0,214,6,0,2013-09-25 06:00:00,US Airways Inc.
309469,2013,9,1,1205.0,1208,-3.0,1445.0,1452,-7.0,B6,323,N527JB,JFK,LAX,311.0,2475,12,8,2013-09-01 12:00:00,JetBlue Airways
226841,2013,6,6,627.0,630,-3.0,914.0,905,9.0,UA,318,N469UA,LGA,IAH,201.0,1416,6,30,2013-06-06 06:00:00,United Air Lines Inc.
289430,2013,8,11,556.0,600,-4.0,716.0,715,1.0,EV,5821,N14993,EWR,IAD,48.0,212,6,0,2013-08-11 06:00:00,ExpressJet Airlines Inc.
133922,2013,2,26,1514.0,1520,-6.0,1847.0,1842,5.0,DL,1097,N368NW,LGA,MIA,176.0,1096,15,20,2013-02-26 15:00:00,Delta Air Lines Inc.
192714,2013,4,30,930.0,932,-2.0,1030.0,1042,-12.0,B6,1004,N598JB,JFK,BOS,35.0,187,9,32,2013-04-30 09:00:00,JetBlue Airways
138673,2013,3,3,1836.0,1840,-4.0,2135.0,2205,-30.0,DL,1643,N3772H,JFK,SEA,335.0,2422,18,40,2013-03-03 18:00:00,Delta Air Lines Inc.
12258,2013,1,15,625.0,630,-5.0,740.0,749,-9.0,EV,4533,N14998,EWR,BUF,53.0,282,6,30,2013-01-15 06:00:00,ExpressJet Airlines Inc.
311863,2013,9,4,627.0,630,-3.0,737.0,753,-16.0,B6,905,N507JB,JFK,ORD,111.0,740,6,30,2013-09-04 06:00:00,JetBlue Airways
107613,2013,12,27,1751.0,1755,-4.0,1928.0,1937,-9.0,UA,1177,N23708,EWR,ORD,116.0,719,17,55,2013-12-27 17:00:00,United Air Lines Inc.
110293,2013,12,30,1812.0,1815,-3.0,2108.0,2150,-42.0,DL,426,N155DL,JFK,LAX,340.0,2475,18,15,2013-12-30 18:00:00,Delta Air Lines Inc.
145787,2013,3,11,1129.0,1135,-6.0,1435.0,1449,-14.0,DL,2044,N971DL,LGA,MIA,149.0,1096,11,35,2013-03-11 11:00:00,Delta Air Lines Inc.
301157,2013,8,23,755.0,800,-5.0,1003.0,1009,-6.0,UA,561,N558UA,LGA,DEN,212.0,1620,8,0,2013-08-23 08:00:00,United Air Lines Inc.
274329,2013,7,26,823.0,825,-2.0,1104.0,1104,0.0,DL,857,N3738B,JFK,SAN,309.0,2446,8,25,2013-07-26 08:00:00,Delta Air Lines Inc.
209783,2013,5,18,1448.0,1452,-4.0,1724.0,1800,-36.0,UA,273,N461UA,EWR,FLL,143.0,1065,14,52,2013-05-18 14:00:00,United Air Lines Inc.
301610,2013,8,23,1556.0,1600,-4.0,1723.0,1718,5.0,US,2154,N948UW,LGA,BOS,35.0,184,16,0,2013-08-23 16:00:00,US Airways Inc.
39204,2013,10,14,809.0,810,-1.0,1044.0,1111,-27.0,DL,1167,N301DQ,JFK,TPA,130.0,1005,8,10,2013-10-14 08:00:00,Delta Air Lines Inc.
